message_text,class_label
New water meter installation scheduled at your property on 3 Nov 2024. Be available 9 AM-1 PM.,benign
Your water account 5774836158 has no pending dues. Thank you for timely payment.,benign
BOI Security: Transaction of Rs.2135 from account 9787044552 is held. Verify identity at https://mahadiscom-7Sx9xA8B8.in/bill/pay to release.,impersonation
BWSSB Notice: Pending water bill Rs.20462 for consumer 0258513641. Pay online: https://axisbank-69ul4.in/confirm to avoid disconnection tomorrow.,kyc_scam
KYC expired. Update within 2 hours to avoid account freeze: https://securebank-login.com/update/oafgJ,phishing_link
Bank notice: Please ignore suspicious calls/SMS asking for OTP.,benign
LPG connection blocked. Reactivate by paying Rs. 851 at https://[tiny.one]/SDDnjZb,fake_payment_portal
EMI of Rs.6941 auto-debited from account 9500838168 on 26 Jun 2024. Loan account updated.,benign
"Transaction alert: Rs.4624 debited from account 7116689930. UPI Ref: 48800761. If not done by you, call 1800-XXX.",benign
"Dear Customer, Indane Gas has detected Rs.3878 pending dues on account 5635383123. Pay via: https://cutt.ly/PiSCSGa5Q today.",kyc_scam
Gas service suspended due to KYC issue. Update now at https://117.145.131.175/gasbill.support/bill/axTI0,phishing_link
Electricity bill reminder: Rs. 6911 due. Pay via official DISCOM app or website http://discom.example.in/pay/i1NkD?ref=BOioS3D9&amt=3280,benign
HPCL Gas Service: Pending bill Rs.19526 for consumer 2723124167. Immediate payment needed at http://powerpay-WRY9h6E.store/now.,impersonation
"Hi, this is City Power. Your account has Rs.15242 dues. Complete payment at http://bankverify-Yd8ewb.info/kyc or service cuts tonight.",kyc_scam
HP Gas Alert: Pending dues Rs.17139 on your account. Update KYC and pay at https://is.gd/cMavMGpk immediately.,kyc_scam
Water bill pending Rs. 2613. Pay today using https%3A%2F/tiny.one/KeFUPwzMe to avoid penalty.,account_block_scam
KYC updated successfully for account 4882567770. No further action required.,benign
Final notice from State DISCOM: Pending bill Rs. 235. Pay immediately at https://tiny.one/cWQza7yFW to avoid disconnection.,account_block_scam
Payment received: Water charges Rs. 9969. Receipt: R927899.,benign
WARNING: ALERT: Your bank account has been temporarily blocked. Verify KYC at http://powerpay-hR5SoS.store/now immediately to restore access.,impersonation
SBI Alert: Your account 1833067073 shows unusual activity. Confirm your details at http://electricity-Jl6Yo3B4P.xyz/pay to prevent blocking.,kyc_scam
"Dear Consumer, your MSEDCL bill of Rs.4698 is overdue. To avoid power cut, pay immediately: http://10.56.69.5/bill/4SmaH - Ref#75494373",kyc_scam
PNB Alert: Your net banking password expires today. Reset immediately at http://192.168.125.60/pay/D7rZm9 to avoid lockout.,account_block_scam
"Bill generated: Consumer 4293355895, Amount Rs.22648, Due 19 Oct 2024. Pay online: https://netbanking.hdfcbank.com/pay/O961XRSX",benign
"Bill generated: Consumer 1151500125, Amount Rs.11820, Due 19 Mar 2024. Pay online: https://axisbank.com/online/EnyQ3cs2",benign
"PNG bill generated for consumer 1903219269: 427 SCM, Rs.956. Pay by 4 Sep 2024.",benign
Payment received: Rs.15511 for water account 0395796557. Receipt No: 18459560. Thank you.,benign
Urgent bank notice: Rs.4244 transfer pending approval. Approve/reject at http://electricity-VusZ9WzHV.xyz/pay within 30 minutes.,impersonation
